Cluster Channel  Gain   K_adc   1pe,code  Rel_sens
13    28    0.000    0.000    22.468    1.059
13    29    0.000    0.000    2.933    1.059
13    30    0.000    0.000    33.555    0.796
13    31    0.000    0.000    4.392    0.796
13    32    0.000    0.000    26.600    1.012
13    33    0.000    0.000    3.545    1.012
13    34    0.000    0.000    25.571    1.071
13    35    0.000    0.000    3.694    1.071
13    36    0.000    0.000    31.684    0.829
13    37    0.000    0.000    3.503    0.829
13    38    0.000    0.000    21.417    1.221
13    39    0.000    0.000    3.175    1.221
13    40    0.000    0.000    25.785    1.026
13    41    0.000    0.000    2.697    1.026
13    42    0.000    0.000    28.877    0.869
13    43    0.000    0.000    2.930    0.869
13    44    0.000    0.000    23.290    0.964
13    45    0.000    0.000    2.672    0.964
13    46    0.000    0.000    25.586    0.988
13    47    0.000    0.000    2.515    0.988
13    48    0.000    0.000    25.659    1.030
13    49    0.000    0.000    4.066    1.030
13    50    0.000    0.000    40.789    0.655
13    51    0.000    0.000    3.159    0.655
13    52    0.000    0.000    26.324    0.973
13    53    0.000    0.000    2.929    0.973
13    54    0.000    0.000    29.335    0.911
13    55    0.000    0.000    3.079    0.911
13    56    0.000    0.000    27.230    0.956
13    57    0.000    0.000    3.390    0.956
13    58    0.000    0.000    29.233    0.901
13    59    0.000    0.000    3.807    0.901
14    4    0.000    0.000    34.572    0.810
14    5    0.000    0.000    3.880    0.810
14    6    0.000    0.000    32.498    0.964
14    7    0.000    0.000    3.103    0.964
14    8    0.000    0.000    38.567    0.818
14    9    0.000    0.000    4.155    0.818
14    10    0.000    0.000    35.171    0.853
14    11    0.000    0.000    5.099    0.853
14    12    0.000    0.000    34.399    0.943
14    13    0.000    0.000    3.529    0.943
14    14    0.000    0.000    31.744    0.957
14    15    0.000    0.000    3.230    0.957
14    16    0.000    0.000    29.973    1.105
14    17    0.000    0.000    2.905    1.105
14    18    0.000    0.000    38.355    0.759
14    19    0.000    0.000    3.797    0.759
14    20    0.000    0.000    32.665    1.010
14    21    0.000    0.000    4.410    1.010
14    22    0.000    0.000    28.097    0.958
14    23    0.000    0.000    2.737    0.958
14    24    0.000    0.000    38.900    0.780
14    25    0.000    0.000    3.732    0.780
14    26    0.000    0.000    32.368    1.040
14    27    0.000    0.000    2.941    1.040
14    28    0.000    0.000    39.871    0.731
14    29    0.000    0.000    4.018    0.731
14    30    0.000    0.000    28.816    1.039
14    31    0.000    0.000    3.435    1.039
14    32    0.000    0.000    36.069    0.857
14    33    0.000    0.000    2.712    0.857
14    34    0.000    0.000    49.525    0.598
14    35    0.000    0.000    4.152    0.598
14    36    0.000    0.000    33.841    0.940
14    37    0.000    0.000    3.566    0.940
14    38    0.000    0.000    47.150    0.700
14    39    0.000    0.000    4.919    0.700
14    40    0.000    0.000    42.326    0.742
14    41    0.000    0.000    4.819    0.742
14    42    0.000    0.000    41.724    0.694
14    43    0.000    0.000    3.375    0.694
14    44    0.000    0.000    31.549    0.916
14    45    0.000    0.000    3.302    0.916
14    46    0.000    0.000    34.187    0.935
14    47    0.000    0.000    4.258    0.935
14    48    0.000    0.000    28.628    1.117
14    49    0.000    0.000    4.082    1.117
14    50    0.000    0.000    26.298    1.189
14    51    0.000    0.000    3.479    1.189
14    52    0.000    0.000    36.976    0.917
14    53    0.000    0.000    4.262    0.917
14    54    0.000    0.000    39.733    0.750
14    55    0.000    0.000    3.649    0.750
14    56    0.000    0.000    31.578    1.024
14    57    0.000    0.000    2.114    1.024
14    58    0.000    0.000    28.652    1.119
14    59    0.000    0.000    2.640    1.119
15    4    0.000    0.000    30.012    0.978
15    5    0.000    0.000    3.517    0.978
15    6    0.000    0.000    25.447    1.073
15    7    0.000    0.000    2.077    1.073
15    8    0.000    0.000    24.660    1.103
15    9    0.000    0.000    3.273    1.103
15    10    0.000    0.000    24.257    1.063
15    11    0.000    0.000    2.891    1.063
15    12    0.000    0.000    29.490    0.877
15    13    0.000    0.000    2.960    0.877
15    14    0.000    0.000    35.115    0.849
15    15    0.000    0.000    3.731    0.849
15    16    0.000    0.000    31.576    0.866
15    17    0.000    0.000    5.028    0.866
15    18    0.000    0.000    26.764    1.023
15    19    0.000    0.000    3.259    1.023
15    20    0.000    0.000    37.639    0.786
15    21    0.000    0.000    3.510    0.786
15    22    0.000    0.000    22.508    1.212
15    23    0.000    0.000    3.003    1.212
15    24    0.000    0.000    24.838    1.138
15    25    0.000    0.000    2.571    1.138
15    26    0.000    0.000    26.726    1.012
15    27    0.000    0.000    3.804    1.012
15    28    0.000    0.000    27.393    0.957
15    29    0.000    0.000    3.350    0.957
15    30    0.000    0.000    40.913    0.682
15    31    0.000    0.000    3.730    0.682
15    32    0.000    0.000    27.893    0.921
15    33    0.000    0.000    3.211    0.921
15    34    0.000    0.000    36.198    0.733
15    35    0.000    0.000    4.479    0.733
15    36    0.000    0.000    36.207    0.797
15    37    0.000    0.000    3.026    0.797
15    38    0.000    0.000    24.520    1.118
15    39    0.000    0.000    2.789    1.118
15    40    0.000    0.000    34.552    0.740
15    41    0.000    0.000    3.654    0.740
15    42    0.000    0.000    40.790    0.687
15    43    0.000    0.000    3.665    0.687
15    44    0.000    0.000    36.696    0.762
15    45    0.000    0.000    4.476    0.762
15    46    0.000    0.000    40.064    0.691
15    47    0.000    0.000    4.173    0.691
15    48    0.000    0.000    26.365    1.088
15    49    0.000    0.000    3.507    1.088
15    50    0.000    0.000    26.408    0.937
15    51    0.000    0.000    3.379    0.937
15    52    0.000    0.000    38.428    0.695
15    53    0.000    0.000    3.011    0.695
15    54    0.000    0.000    23.945    1.137
15    55    0.000    0.000    3.109    1.137
15    56    0.000    0.000    33.202    0.842
15    57    0.000    0.000    4.258    0.842
15    58    0.000    0.000    34.265    0.811
15    59    0.000    0.000    3.525    0.811
16    4    0.000    0.000    37.922    0.744
16    5    0.000    0.000    4.934    0.744
16    6    0.000    0.000    30.234    0.969
16    7    0.000    0.000    3.666    0.969
16    8    0.000    0.000    27.588    0.993
16    9    0.000    0.000    2.714    0.993
16    10    0.000    0.000    36.790    0.724
16    11    0.000    0.000    4.106    0.724
16    12    0.000    0.000    32.868    0.857
16    13    0.000    0.000    2.248    0.857
16    14    0.000    0.000    32.222    0.878
16    15    0.000    0.000    3.623    0.878
16    16    0.000    0.000    33.383    0.851
16    17    0.000    0.000    3.060    0.851
16    18    0.000    0.000    24.423    1.187
16    19    0.000    0.000    2.381    1.187
16    20    0.000    0.000    23.244    1.186
16    21    0.000    0.000    2.679    1.186
16    22    0.000    0.000    33.760    0.826
16    23    0.000    0.000    3.949    0.826
16    24    0.000    0.000    33.083    0.795
16    25    0.000    0.000    3.969    0.795
16    26    0.000    0.000    33.307    0.852
16    27    0.000    0.000    2.830    0.852
16    28    0.000    0.000    26.699    0.988
16    29    0.000    0.000    3.829    0.988
16    30    0.000    0.000    28.910    1.017
16    31    0.000    0.000    2.605    1.017
16    32    0.000    0.000    33.737    0.853
16    33    0.000    0.000    4.135    0.853
16    34    NaN    NaN    NaN    NaN
16    35    NaN    NaN    NaN    NaN
16    36    0.000    0.000    32.072    0.906
16    37    0.000    0.000    3.138    0.906
16    38    NaN    NaN    NaN    NaN
16    39    NaN    NaN    NaN    NaN
16    40    0.000    0.000    36.590    0.794
16    41    0.000    0.000    3.237    0.794
16    42    NaN    NaN    NaN    NaN
16    43    NaN    NaN    NaN    NaN
16    44    0.000    0.000    36.413    0.839
16    45    0.000    0.000    3.442    0.839
16    46    NaN    NaN    NaN    NaN
16    47    NaN    NaN    NaN    NaN
16    48    0.000    0.000    33.877    0.850
16    49    0.000    0.000    3.484    0.850
16    50    NaN    NaN    NaN    NaN
16    51    NaN    NaN    NaN    NaN
16    52    0.000    0.000    40.997    0.787
16    53    0.000    0.000    3.309    0.787
16    54    NaN    NaN    NaN    NaN
16    55    NaN    NaN    NaN    NaN
16    56    0.000    0.000    40.334    0.777
16    57    0.000    0.000    4.102    0.777
16    58    NaN    NaN    NaN    NaN
16    59    NaN    NaN    NaN    NaN
17    4    NaN    NaN    NaN    NaN
17    5    NaN    NaN    NaN    NaN
17    6    0.000    0.000    31.855    0.860
17    7    0.000    0.000    2.945    0.860
17    8    NaN    NaN    NaN    NaN
17    9    NaN    NaN    NaN    NaN
17    10    0.000    0.000    32.190    0.900
17    11    0.000    0.000    3.316    0.900
17    12    NaN    NaN    NaN    NaN
17    13    NaN    NaN    NaN    NaN
17    14    0.000    0.000    33.096    0.818
17    15    0.000    0.000    3.001    0.818
17    16    NaN    NaN    NaN    NaN
17    17    NaN    NaN    NaN    NaN
17    18    0.000    0.000    34.670    0.768
17    19    0.000    0.000    4.214    0.768
17    20    NaN    NaN    34.696    0.784
17    21    NaN    NaN    3.607    0.784
17    22    0.000    0.000    34.195    0.856
17    23    0.000    0.000    3.296    0.856
17    24    NaN    NaN    36.047    0.743
17    25    NaN    NaN    3.881    0.743
17    26    0.000    0.000    35.950    0.763
17    27    0.000    0.000    3.013    0.763
17    28    NaN    NaN    39.364    0.710
17    29    NaN    NaN    4.005    0.710
17    30    0.000    0.000    43.618    0.619
17    31    0.000    0.000    3.653    0.619
17    32    0.000    0.000    29.151    0.873
17    33    0.000    0.000    2.603    0.873
17    34    0.000    0.000    33.087    0.813
17    35    0.000    0.000    3.444    0.813
17    36    0.000    0.000    30.259    0.950
17    37    0.000    0.000    2.891    0.950
17    38    0.000    0.000    37.565    0.737
17    39    0.000    0.000    3.719    0.737
17    40    0.000    0.000    26.874    1.005
17    41    0.000    0.000    2.738    1.005
17    42    0.000    0.000    25.567    1.026
17    43    0.000    0.000    2.724    1.026
17    44    0.000    0.000    36.428    0.793
17    45    0.000    0.000    3.226    0.793
17    46    0.000    0.000    27.650    1.017
17    47    0.000    0.000    2.753    1.017
17    48    0.000    0.000    37.881    0.776
17    49    0.000    0.000    3.555    0.776
17    50    0.000    0.000    NaN    NaN
17    51    0.000    0.000    NaN    NaN
17    52    0.000    0.000    25.961    1.118
17    53    0.000    0.000    4.438    1.118
17    54    0.000    0.000    39.016    0.748
17    55    0.000    0.000    4.286    0.748
17    56    0.000    0.000    NaN    NaN
17    57    0.000    0.000    NaN    NaN
17    58    0.000    0.000    NaN    NaN
17    59    0.000    0.000    NaN    NaN
18    4    NaN    NaN    NaN    NaN
18    5    NaN    NaN    NaN    NaN
18    6    0.000    0.000    34.995    0.932
18    7    0.000    0.000    3.351    0.932
18    8    NaN    NaN    NaN    NaN
18    9    NaN    NaN    NaN    NaN
18    10    0.000    0.000    46.011    0.624
18    11    0.000    0.000    5.281    0.624
18    12    NaN    NaN    NaN    NaN
18    13    NaN    NaN    NaN    NaN
18    14    0.000    0.000    43.746    0.699
18    15    0.000    0.000    4.456    0.699
18    16    NaN    NaN    NaN    NaN
18    17    NaN    NaN    NaN    NaN
18    18    0.000    0.000    39.192    0.740
18    19    0.000    0.000    4.456    0.740
18    20    NaN    NaN    NaN    NaN
18    21    NaN    NaN    NaN    NaN
18    22    0.000    0.000    40.364    0.830
18    23    0.000    0.000    3.382    0.830
18    24    NaN    NaN    NaN    NaN
18    25    NaN    NaN    NaN    NaN
18    26    0.000    0.000    46.649    0.639
18    27    0.000    0.000    3.732    0.639
18    28    NaN    NaN    NaN    NaN
18    29    NaN    NaN    NaN    NaN
18    30    0.000    0.000    38.576    0.833
18    31    0.000    0.000    4.046    0.833
18    32    0.000    0.000    37.412    0.833
18    33    0.000    0.000    3.229    0.833
18    34    0.000    0.000    31.959    0.950
18    35    0.000    0.000    3.557    0.950
18    36    0.000    0.000    35.640    0.907
18    37    0.000    0.000    3.873    0.907
18    38    0.000    0.000    31.632    1.043
18    39    0.000    0.000    2.586    1.043
18    40    0.000    0.000    50.586    0.610
18    41    0.000    0.000    3.669    0.610
18    42    0.000    0.000    44.077    0.673
18    43    0.000    0.000    4.366    0.673
18    44    0.000    0.000    45.243    0.683
18    45    0.000    0.000    4.961    0.683
18    46    0.000    0.000    30.492    1.032
18    47    0.000    0.000    2.273    1.032
18    48    0.000    0.000    39.831    0.848
18    49    0.000    0.000    4.217    0.848
18    50    0.000    0.000    27.051    1.165
18    51    0.000    0.000    2.524    1.165
18    52    0.000    0.000    39.673    0.784
18    53    0.000    0.000    3.831    0.784
18    54    0.000    0.000    39.859    0.802
18    55    0.000    0.000    2.703    0.802
18    56    0.000    0.000    37.895    0.895
18    57    0.000    0.000    3.103    0.895
18    58    0.000    0.000    44.577    0.678
18    59    0.000    0.000    3.516    0.678
19    4    0.000    0.000    33.614    0.698
19    5    0.000    0.000    5.431    0.698
19    6    0.000    0.000    25.008    1.106
19    7    0.000    0.000    2.743    1.106
19    8    0.000    0.000    36.615    0.706
19    9    0.000    0.000    5.017    0.706
19    10    0.000    0.000    23.385    1.095
19    11    0.000    0.000    2.893    1.095
19    12    0.000    0.000    31.473    0.713
19    13    0.000    0.000    4.572    0.713
19    14    0.000    0.000    23.910    0.997
19    15    0.000    0.000    2.294    0.997
19    16    0.000    0.000    29.886    0.803
19    17    0.000    0.000    5.164    0.803
19    18    0.000    0.000    24.232    0.985
19    19    0.000    0.000    2.127    0.985
19    20    0.000    0.000    32.879    0.733
19    21    0.000    0.000    4.183    0.733
19    22    0.000    0.000    21.078    1.216
19    23    0.000    0.000    2.204    1.216
19    24    0.000    0.000    40.346    0.590
19    25    0.000    0.000    5.856    0.590
19    26    0.000    0.000    21.181    1.099
19    27    0.000    0.000    2.137    1.099
19    28    0.000    0.000    32.837    0.706
19    29    0.000    0.000    4.650    0.706
19    30    0.000    0.000    20.321    1.120
19    31    0.000    0.000    3.011    1.120
19    32    0.000    0.000    26.221    0.897
19    33    0.000    0.000    2.363    0.897
19    34    NaN    NaN    NaN    NaN
19    35    NaN    NaN    NaN    NaN
19    36    0.000    0.000    21.742    1.168
19    37    0.000    0.000    3.573    1.168
19    38    NaN    NaN    NaN    NaN
19    39    NaN    NaN    NaN    NaN
19    40    0.000    0.000    22.701    1.115
19    41    0.000    0.000    3.021    1.115
19    42    NaN    NaN    NaN    NaN
19    43    NaN    NaN    NaN    NaN
19    44    0.000    0.000    25.097    1.006
19    45    0.000    0.000    2.261    1.006
19    46    NaN    NaN    NaN    NaN
19    47    NaN    NaN    NaN    NaN
19    48    0.000    0.000    25.489    0.927
19    49    0.000    0.000    3.363    0.927
19    50    NaN    NaN    NaN    NaN
19    51    NaN    NaN    NaN    NaN
19    52    0.000    0.000    22.718    1.130
19    53    0.000    0.000    3.072    1.130
19    54    NaN    NaN    NaN    NaN
19    55    NaN    NaN    NaN    NaN
19    56    0.000    0.000    24.213    0.997
19    57    0.000    0.000    2.627    0.997
19    58    NaN    NaN    NaN    NaN
19    59    NaN    NaN    NaN    NaN
20    4    0.000    0.000    23.384    1.147
20    5    0.000    0.000    2.332    1.147
20    6    NaN    NaN    NaN    NaN
20    7    NaN    NaN    NaN    NaN
20    8    0.000    0.000    24.246    1.104
20    9    0.000    0.000    2.580    1.104
20    10    NaN    NaN    NaN    NaN
20    11    NaN    NaN    NaN    NaN
20    12    0.000    0.000    26.383    1.085
20    13    0.000    0.000    2.995    1.085
20    14    NaN    NaN    NaN    NaN
20    15    NaN    NaN    NaN    NaN
20    16    0.000    0.000    23.677    1.157
20    17    0.000    0.000    2.561    1.157
20    18    NaN    NaN    NaN    NaN
20    19    NaN    NaN    NaN    NaN
20    20    0.000    0.000    22.347    1.230
20    21    0.000    0.000    2.911    1.230
20    22    NaN    NaN    NaN    NaN
20    23    NaN    NaN    NaN    NaN
20    24    0.000    0.000    27.358    1.058
20    25    0.000    0.000    3.337    1.058
20    26    NaN    NaN    NaN    NaN
20    27    NaN    NaN    NaN    NaN
20    28    0.000    0.000    22.801    1.164
20    29    0.000    0.000    3.242    1.164
20    30    NaN    NaN    NaN    NaN
20    31    NaN    NaN    NaN    NaN
20    32    0.000    0.000    32.256    1.076
20    33    0.000    0.000    4.203    1.076
20    34    0.000    0.000    23.343    1.189
20    35    0.000    0.000    1.906    1.189
20    36    0.000    0.000    24.371    1.230
20    37    0.000    0.000    2.200    1.230
20    38    0.000    0.000    24.795    1.184
20    39    0.000    0.000    2.099    1.184
20    40    0.000    0.000    28.813    0.960
20    41    0.000    0.000    2.625    0.960
20    42    0.000    0.000    27.960    1.034
20    43    0.000    0.000    2.145    1.034
20    44    0.000    0.000    26.620    1.123
20    45    0.000    0.000    2.576    1.123
20    46    0.000    0.000    28.188    1.045
20    47    0.000    0.000    2.168    1.045
20    48    0.000    0.000    26.275    1.072
20    49    0.000    0.000    2.265    1.072
20    50    0.000    0.000    25.916    1.080
20    51    0.000    0.000    2.377    1.080
20    52    0.000    0.000    22.599    1.297
20    53    0.000    0.000    2.056    1.297
20    54    0.000    0.000    24.027    1.149
20    55    0.000    0.000    2.097    1.149
20    56    0.000    0.000    26.883    1.079
20    57    0.000    0.000    2.115    1.079
20    58    0.000    0.000    22.113    1.199
20    59    0.000    0.000    2.356    1.199
21    4    NaN    NaN    NaN    NaN
21    5    NaN    NaN    NaN    NaN
21    6    0.000    0.000    33.878    0.929
21    7    0.000    0.000    2.514    0.929
21    8    NaN    NaN    NaN    NaN
21    9    NaN    NaN    NaN    NaN
21    10    0.000    0.000    30.659    0.973
21    11    0.000    0.000    2.622    0.973
21    12    NaN    NaN    NaN    NaN
21    13    NaN    NaN    NaN    NaN
21    14    0.000    0.000    29.010    1.023
21    15    0.000    0.000    3.034    1.023
21    16    NaN    NaN    NaN    NaN
21    17    NaN    NaN    NaN    NaN
21    18    0.000    0.000    31.814    1.049
21    19    0.000    0.000    3.088    1.049
21    20    NaN    NaN    NaN    NaN
21    21    NaN    NaN    NaN    NaN
21    22    0.000    0.000    29.730    1.062
21    23    0.000    0.000    2.725    1.062
21    24    NaN    NaN    NaN    NaN
21    25    NaN    NaN    NaN    NaN
21    26    0.000    0.000    35.232    0.866
21    27    0.000    0.000    3.603    0.866
21    28    NaN    NaN    NaN    NaN
21    29    NaN    NaN    NaN    NaN
21    30    0.000    0.000    27.093    1.219
21    31    0.000    0.000    3.705    1.219
21    32    0.000    0.000    30.200    1.022
21    33    0.000    0.000    2.305    1.022
21    34    0.000    0.000    35.748    0.897
21    35    0.000    0.000    3.996    0.897
21    36    0.000    0.000    27.590    1.106
21    37    0.000    0.000    2.376    1.106
21    38    0.000    0.000    30.522    1.001
21    39    0.000    0.000    2.918    1.001
21    40    0.000    0.000    26.204    1.170
21    41    0.000    0.000    2.936    1.170
21    42    0.000    0.000    26.033    1.275
21    43    0.000    0.000    2.600    1.275
21    44    0.000    0.000    27.446    1.055
21    45    0.000    0.000    2.605    1.055
21    46    0.000    0.000    40.947    0.765
21    47    0.000    0.000    3.850    0.765
21    48    0.000    0.000    30.890    1.072
21    49    0.000    0.000    3.694    1.072
21    50    0.000    0.000    29.865    1.082
21    51    0.000    0.000    3.483    1.082
21    52    0.000    0.000    30.458    1.113
21    53    0.000    0.000    3.590    1.113
21    54    0.000    0.000    33.016    1.004
21    55    0.000    0.000    2.788    1.004
21    56    0.000    0.000    30.163    1.122
21    57    0.000    0.000    3.192    1.122
21    58    0.000    0.000    41.957    0.704
21    59    0.000    0.000    3.719    0.704
22    4    NaN    NaN    NaN    NaN
22    5    NaN    NaN    NaN    NaN
22    6    0.000    0.000    24.288    1.208
22    7    0.000    0.000    2.651    1.208
22    8    NaN    NaN    NaN    NaN
22    9    NaN    NaN    NaN    NaN
22    10    0.000    0.000    29.211    1.070
22    11    0.000    0.000    2.566    1.070
22    12    NaN    NaN    NaN    NaN
22    13    NaN    NaN    NaN    NaN
22    14    0.000    0.000    27.755    1.091
22    15    0.000    0.000    3.501    1.091
22    16    NaN    NaN    NaN    NaN
22    17    NaN    NaN    NaN    NaN
22    18    0.000    0.000    30.147    1.116
22    19    0.000    0.000    3.124    1.116
22    20    NaN    NaN    NaN    NaN
22    21    NaN    NaN    NaN    NaN
22    22    0.000    0.000    30.789    1.048
22    23    0.000    0.000    2.454    1.048
22    24    NaN    NaN    NaN    NaN
22    25    NaN    NaN    NaN    NaN
22    26    0.000    0.000    25.978    1.283
22    27    0.000    0.000    2.735    1.283
22    28    NaN    NaN    NaN    NaN
22    29    NaN    NaN    NaN    NaN
22    30    0.000    0.000    27.394    1.167
22    31    0.000    0.000    2.874    1.167
22    32    NaN    NaN    NaN    NaN
22    33    NaN    NaN    NaN    NaN
22    34    0.000    0.000    24.583    1.330
22    35    0.000    0.000    3.185    1.330
22    36    NaN    NaN    NaN    NaN
22    37    NaN    NaN    NaN    NaN
22    38    0.000    0.000    24.980    1.170
22    39    0.000    0.000    3.023    1.170
22    40    NaN    NaN    NaN    NaN
22    41    NaN    NaN    NaN    NaN
22    42    0.000    0.000    28.122    1.073
22    43    0.000    0.000    2.134    1.073
22    44    NaN    NaN    NaN    NaN
22    45    NaN    NaN    NaN    NaN
22    46    0.000    0.000    38.016    0.871
22    47    0.000    0.000    2.686    0.871
22    48    NaN    NaN    NaN    NaN
22    49    NaN    NaN    NaN    NaN
22    50    0.000    0.000    31.960    1.085
22    51    0.000    0.000    3.395    1.085
22    52    NaN    NaN    NaN    NaN
22    53    NaN    NaN    NaN    NaN
22    54    0.000    0.000    31.564    1.026
22    55    0.000    0.000    4.003    1.026
22    56    NaN    NaN    NaN    NaN
22    57    NaN    NaN    NaN    NaN
22    58    0.000    0.000    32.350    0.954
22    59    0.000    0.000    2.973    0.954
