Cluster Channel  Gain   K_adc   1pe,code  Rel_sens
3    50    0.000    0.000    25.357    1.138
3    51    0.000    0.000    2.747    1.138
3    52    0.000    0.000    34.625    0.807
3    53    0.000    0.000    2.713    0.807
3    54    0.000    0.000    31.482    0.918
3    55    0.000    0.000    3.042    0.918
3    56    0.000    0.000    26.265    1.061
3    57    0.000    0.000    2.762    1.061
3    58    0.000    0.000    25.334    1.091
3    59    0.000    0.000    2.617    1.091
4    4    0.000    0.000    32.136    0.915
4    5    0.000    0.000    3.475    0.915
4    6    0.000    0.000    28.692    1.099
4    7    0.000    0.000    3.397    1.099
4    8    0.000    0.000    28.336    1.054
4    9    0.000    0.000    3.002    1.054
4    10    0.000    0.000    28.373    1.248
4    11    0.000    0.000    2.648    1.248
4    12    0.000    0.000    25.753    1.190
4    13    0.000    0.000    3.896    1.190
4    14    0.000    0.000    26.661    1.062
4    15    0.000    0.000    2.755    1.062
4    16    0.000    0.000    24.166    1.153
4    17    0.000    0.000    3.047    1.153
4    18    0.000    0.000    27.822    1.008
4    19    0.000    0.000    2.214    1.008
4    20    0.000    0.000    24.049    1.112
4    21    0.000    0.000    3.257    1.112
4    22    0.000    0.000    22.787    1.174
4    23    0.000    0.000    2.768    1.174
4    24    0.000    0.000    36.389    0.907
4    25    0.000    0.000    3.164    0.907
4    26    0.000    0.000    27.704    0.982
4    27    0.000    0.000    2.538    0.982
4    28    0.000    0.000    28.647    1.021
4    29    0.000    0.000    2.871    1.021
4    30    0.000    0.000    23.137    1.241
4    31    0.000    0.000    2.808    1.241
4    32    0.000    0.000    29.201    1.020
4    33    0.000    0.000    2.815    1.020
4    34    0.000    0.000    31.381    0.890
4    35    0.000    0.000    3.471    0.890
4    36    0.000    0.000    23.733    1.169
4    37    0.000    0.000    2.326    1.169
4    38    0.000    0.000    30.774    0.933
4    39    0.000    0.000    3.605    0.933
4    40    0.000    0.000    25.706    1.224
4    41    0.000    0.000    2.841    1.224
4    42    0.000    0.000    26.378    1.139
4    43    0.000    0.000    3.182    1.139
4    44    0.000    0.000    26.403    1.150
4    45    0.000    0.000    2.498    1.150
4    46    0.000    0.000    30.136    1.036
4    47    0.000    0.000    2.634    1.036
4    48    0.000    0.000    26.226    1.112
4    49    0.000    0.000    2.990    1.112
4    50    0.000    0.000    29.430    0.955
4    51    0.000    0.000    2.948    0.955
4    52    0.000    0.000    21.081    1.553
4    53    0.000    0.000    1.750    1.553
4    54    0.000    0.000    30.511    1.017
4    55    0.000    0.000    2.655    1.017
4    56    0.000    0.000    28.997    1.016
4    57    0.000    0.000    2.701    1.016
4    58    0.000    0.000    29.260    1.033
4    59    0.000    0.000    3.184    1.033
5    4    0.000    0.000    24.517    1.092
5    5    0.000    0.000    2.440    1.092
5    6    0.000    0.000    27.507    0.999
5    7    0.000    0.000    3.307    0.999
5    8    0.000    0.000    25.078    1.102
5    9    0.000    0.000    2.802    1.102
5    10    0.000    0.000    25.931    1.031
5    11    0.000    0.000    3.045    1.031
5    12    0.000    0.000    26.622    1.021
5    13    0.000    0.000    2.814    1.021
5    14    0.000    0.000    25.747    1.003
5    15    0.000    0.000    3.183    1.003
5    16    0.000    0.000    24.444    0.940
5    17    0.000    0.000    3.988    0.940
5    18    0.000    0.000    24.857    1.063
5    19    0.000    0.000    2.710    1.063
5    20    0.000    0.000    25.455    1.032
5    21    0.000    0.000    2.849    1.032
5    22    0.000    0.000    28.732    0.986
5    23    0.000    0.000    2.745    0.986
5    24    0.000    0.000    26.134    0.927
5    25    0.000    0.000    2.752    0.927
5    26    0.000    0.000    27.571    0.994
5    27    0.000    0.000    3.187    0.994
5    28    0.000    0.000    25.096    1.135
5    29    0.000    0.000    2.338    1.135
5    30    0.000    0.000    29.507    0.894
5    31    0.000    0.000    2.883    0.894
5    32    0.000    0.000    23.889    1.138
5    33    0.000    0.000    2.422    1.138
5    34    0.000    0.000    22.748    1.125
5    35    0.000    0.000    3.189    1.125
5    36    0.000    0.000    29.941    0.905
5    37    0.000    0.000    3.067    0.905
5    38    0.000    0.000    27.759    1.018
5    39    0.000    0.000    2.370    1.018
5    40    0.000    0.000    29.167    0.937
5    41    0.000    0.000    2.554    0.937
5    42    0.000    0.000    26.958    1.059
5    43    0.000    0.000    2.984    1.059
5    44    0.000    0.000    27.167    1.085
5    45    0.000    0.000    2.903    1.085
5    46    0.000    0.000    25.284    1.112
5    47    0.000    0.000    2.405    1.112
5    48    0.000    0.000    24.428    1.195
5    49    0.000    0.000    2.294    1.195
5    50    0.000    0.000    23.689    1.168
5    51    0.000    0.000    3.032    1.168
5    52    0.000    0.000    25.049    1.184
5    53    0.000    0.000    3.490    1.184
5    54    0.000    0.000    24.143    1.243
5    55    0.000    0.000    2.440    1.243
5    56    0.000    0.000    23.477    1.239
5    57    0.000    0.000    2.574    1.239
5    58    0.000    0.000    24.363    1.123
5    59    0.000    0.000    2.670    1.123
6    4    0.000    0.000    25.314    1.012
6    5    0.000    0.000    1.940    1.012
6    6    0.000    0.000    23.787    1.119
6    7    0.000    0.000    2.444    1.119
6    8    0.000    0.000    21.664    1.148
6    9    0.000    0.000    2.763    1.148
6    10    0.000    0.000    23.896    1.193
6    11    0.000    0.000    3.035    1.193
6    12    0.000    0.000    23.084    1.044
6    13    0.000    0.000    2.175    1.044
6    14    0.000    0.000    29.668    0.803
6    15    0.000    0.000    3.042    0.803
6    16    0.000    0.000    18.794    1.283
6    17    0.000    0.000    3.063    1.283
6    18    0.000    0.000    23.704    1.061
6    19    0.000    0.000    2.721    1.061
6    20    0.000    0.000    17.325    1.423
6    21    0.000    0.000    2.456    1.423
6    22    0.000    0.000    21.341    1.065
6    23    0.000    0.000    2.920    1.065
6    24    0.000    0.000    23.432    1.065
6    25    0.000    0.000    2.432    1.065
6    26    0.000    0.000    24.476    1.128
6    27    0.000    0.000    2.524    1.128
6    28    0.000    0.000    27.524    0.869
6    29    0.000    0.000    3.037    0.869
6    30    0.000    0.000    21.061    1.140
6    31    0.000    0.000    2.314    1.140
6    32    0.000    0.000    27.514    0.949
6    33    0.000    0.000    3.621    0.949
6    34    0.000    0.000    26.528    1.042
6    35    0.000    0.000    2.238    1.042
6    36    0.000    0.000    28.999    0.849
6    37    0.000    0.000    2.351    0.849
6    38    0.000    0.000    28.915    0.941
6    39    0.000    0.000    2.621    0.941
6    40    0.000    0.000    32.877    0.956
6    41    0.000    0.000    2.764    0.956
6    42    0.000    0.000    27.700    1.052
6    43    0.000    0.000    2.695    1.052
6    44    0.000    0.000    22.238    1.168
6    45    0.000    0.000    2.029    1.168
6    46    0.000    0.000    24.020    1.202
6    47    0.000    0.000    2.711    1.202
6    48    0.000    0.000    26.519    1.054
6    49    0.000    0.000    2.331    1.054
6    50    0.000    0.000    30.277    0.963
6    51    0.000    0.000    2.536    0.963
6    52    0.000    0.000    25.949    1.054
6    53    0.000    0.000    3.046    1.054
6    54    0.000    0.000    24.252    1.147
6    55    0.000    0.000    2.931    1.147
6    56    0.000    0.000    26.971    1.067
6    57    0.000    0.000    2.953    1.067
6    58    0.000    0.000    31.471    0.983
6    59    0.000    0.000    3.412    0.983
7    4    0.000    0.000    27.022    1.108
7    5    0.000    0.000    2.619    1.108
7    6    0.000    0.000    33.627    0.983
7    7    0.000    0.000    3.740    0.983
7    8    0.000    0.000    25.056    1.175
7    9    0.000    0.000    1.946    1.175
7    10    0.000    0.000    28.190    1.043
7    11    0.000    0.000    3.849    1.043
7    12    0.000    0.000    27.225    1.146
7    13    0.000    0.000    3.406    1.146
7    14    0.000    0.000    33.750    0.876
7    15    0.000    0.000    3.274    0.876
7    16    0.000    0.000    25.866    1.178
7    17    0.000    0.000    2.616    1.178
7    18    0.000    0.000    28.101    1.062
7    19    0.000    0.000    2.991    1.062
7    20    0.000    0.000    27.601    1.108
7    21    0.000    0.000    3.068    1.108
7    22    0.000    0.000    31.108    0.984
7    23    0.000    0.000    4.192    0.984
7    24    0.000    0.000    27.497    1.082
7    25    0.000    0.000    3.620    1.082
7    26    0.000    0.000    28.115    1.089
7    27    0.000    0.000    3.502    1.089
7    28    0.000    0.000    28.838    0.993
7    29    0.000    0.000    2.800    0.993
7    30    0.000    0.000    29.317    0.978
7    31    0.000    0.000    2.898    0.978
7    32    0.000    0.000    41.126    0.730
7    33    0.000    0.000    4.517    0.730
7    34    0.000    0.000    30.331    1.008
7    35    0.000    0.000    3.383    1.008
7    36    0.000    0.000    33.334    0.920
7    37    0.000    0.000    3.383    0.920
7    38    0.000    0.000    26.079    1.135
7    39    0.000    0.000    2.501    1.135
7    40    0.000    0.000    29.101    0.964
7    41    0.000    0.000    3.233    0.964
7    42    0.000    0.000    28.171    1.055
7    43    0.000    0.000    2.731    1.055
7    44    0.000    0.000    29.330    1.068
7    45    0.000    0.000    3.422    1.068
7    46    0.000    0.000    29.798    1.037
7    47    0.000    0.000    3.387    1.037
7    48    0.000    0.000    26.217    1.141
7    49    0.000    0.000    2.975    1.141
7    50    0.000    0.000    31.228    0.929
7    51    0.000    0.000    3.487    0.929
7    52    0.000    0.000    25.965    1.254
7    53    0.000    0.000    4.309    1.254
7    54    0.000    0.000    28.495    1.078
7    55    0.000    0.000    3.488    1.078
7    56    0.000    0.000    30.644    0.959
7    57    0.000    0.000    2.812    0.959
7    58    0.000    0.000    30.889    1.004
7    59    0.000    0.000    3.208    1.004
8    4    0.000    0.000    32.846    0.964
8    5    0.000    0.000    3.429    0.964
8    6    0.000    0.000    32.650    1.033
8    7    0.000    0.000    2.231    1.033
8    8    0.000    0.000    30.651    1.029
8    9    0.000    0.000    3.000    1.029
8    10    0.000    0.000    30.630    1.115
8    11    0.000    0.000    3.489    1.115
8    12    0.000    0.000    30.692    1.011
8    13    0.000    0.000    3.498    1.011
8    14    0.000    0.000    27.414    1.103
8    15    0.000    0.000    2.263    1.103
8    16    0.000    0.000    33.530    0.902
8    17    0.000    0.000    3.988    0.902
8    18    0.000    0.000    29.746    1.226
8    19    0.000    0.000    3.623    1.226
8    20    0.000    0.000    28.153    1.078
8    21    0.000    0.000    3.488    1.078
8    22    0.000    0.000    32.383    0.994
8    23    0.000    0.000    3.009    0.994
8    24    0.000    0.000    27.360    1.125
8    25    0.000    0.000    2.997    1.125
8    26    0.000    0.000    32.934    0.885
8    27    0.000    0.000    2.853    0.885
8    28    0.000    0.000    28.206    1.062
8    29    0.000    0.000    2.857    1.062
8    30    0.000    0.000    30.182    1.079
8    31    0.000    0.000    2.561    1.079
8    32    0.000    0.000    30.269    1.076
8    33    0.000    0.000    2.175    1.076
8    34    0.000    0.000    25.727    1.181
8    35    0.000    0.000    2.325    1.181
8    36    0.000    0.000    38.196    0.808
8    37    0.000    0.000    3.858    0.808
8    38    0.000    0.000    29.874    1.026
8    39    0.000    0.000    2.616    1.026
8    40    0.000    0.000    32.156    1.019
8    41    0.000    0.000    3.480    1.019
8    42    0.000    0.000    32.110    0.976
8    43    0.000    0.000    3.182    0.976
8    44    0.000    0.000    31.769    0.958
8    45    0.000    0.000    2.786    0.958
8    46    0.000    0.000    31.464    1.045
8    47    0.000    0.000    2.919    1.045
8    48    0.000    0.000    26.337    1.174
8    49    0.000    0.000    2.492    1.174
8    50    0.000    0.000    27.926    1.181
8    51    0.000    0.000    2.981    1.181
8    52    0.000    0.000    33.173    1.003
8    53    0.000    0.000    2.489    1.003
8    54    0.000    0.000    32.409    0.979
8    55    0.000    0.000    2.075    0.979
8    56    0.000    0.000    30.227    1.027
8    57    0.000    0.000    2.870    1.027
8    58    0.000    0.000    39.159    0.834
8    59    0.000    0.000    2.501    0.834
9    4    0.000    0.000    36.329    0.845
9    5    0.000    0.000    3.967    0.845
9    6    0.000    0.000    38.186    0.802
9    7    0.000    0.000    3.570    0.802
9    8    0.000    0.000    29.328    1.068
9    9    0.000    0.000    3.247    1.068
9    10    0.000    0.000    32.668    0.997
9    11    0.000    0.000    2.326    0.997
9    12    0.000    0.000    30.514    1.039
9    13    0.000    0.000    3.259    1.039
9    14    0.000    0.000    32.650    0.948
9    15    0.000    0.000    3.567    0.948
9    16    0.000    0.000    27.492    1.141
9    17    0.000    0.000    3.510    1.141
9    18    0.000    0.000    31.764    0.904
9    19    0.000    0.000    3.307    0.904
9    20    0.000    0.000    34.068    0.890
9    21    0.000    0.000    3.991    0.890
9    22    0.000    0.000    26.856    1.086
9    23    0.000    0.000    3.633    1.086
9    24    0.000    0.000    30.627    0.986
9    25    0.000    0.000    3.743    0.986
9    26    0.000    0.000    30.736    0.973
9    27    0.000    0.000    3.415    0.973
9    28    0.000    0.000    26.893    1.056
9    29    0.000    0.000    3.340    1.056
9    30    0.000    0.000    26.598    1.071
9    31    0.000    0.000    3.351    1.071
9    32    0.000    0.000    33.387    0.911
9    33    0.000    0.000    3.537    0.911
9    34    0.000    0.000    28.425    1.119
9    35    0.000    0.000    2.813    1.119
9    36    0.000    0.000    33.567    0.954
9    37    0.000    0.000    3.718    0.954
9    38    0.000    0.000    34.629    0.890
9    39    0.000    0.000    3.382    0.890
9    40    0.000    0.000    35.090    0.894
9    41    0.000    0.000    3.341    0.894
9    42    0.000    0.000    30.036    0.995
9    43    0.000    0.000    2.734    0.995
9    44    0.000    0.000    30.943    1.141
9    45    0.000    0.000    2.687    1.141
9    46    0.000    0.000    28.437    1.162
9    47    0.000    0.000    3.140    1.162
9    48    0.000    0.000    31.566    0.982
9    49    0.000    0.000    2.798    0.982
9    50    0.000    0.000    29.154    1.073
9    51    0.000    0.000    2.799    1.073
9    52    0.000    0.000    30.234    0.971
9    53    0.000    0.000    3.372    0.971
9    54    0.000    0.000    34.931    0.948
9    55    0.000    0.000    3.485    0.948
9    56    0.000    0.000    34.242    0.903
9    57    0.000    0.000    3.079    0.903
9    58    0.000    0.000    31.304    1.003
9    59    0.000    0.000    4.030    1.003
10    4    0.000    0.000    30.635    0.935
10    5    0.000    0.000    3.924    0.935
10    6    0.000    0.000    31.220    0.957
10    7    0.000    0.000    1.950    0.957
10    8    0.000    0.000    39.126    0.743
10    9    0.000    0.000    3.447    0.743
10    10    0.000    0.000    29.793    1.038
10    11    0.000    0.000    3.517    1.038
10    12    0.000    0.000    26.951    0.987
10    13    0.000    0.000    3.091    0.987
10    14    0.000    0.000    31.867    0.964
10    15    0.000    0.000    3.292    0.964
10    16    0.000    0.000    30.417    0.874
10    17    0.000    0.000    2.712    0.874
10    18    0.000    0.000    25.131    1.211
10    19    0.000    0.000    2.656    1.211
10    20    0.000    0.000    34.704    0.863
10    21    0.000    0.000    3.264    0.863
10    22    0.000    0.000    37.661    0.716
10    23    0.000    0.000    3.355    0.716
10    24    0.000    0.000    26.392    1.130
10    25    0.000    0.000    3.245    1.130
10    26    0.000    0.000    28.308    1.069
10    27    0.000    0.000    2.952    1.069
10    28    0.000    0.000    34.687    0.897
10    29    0.000    0.000    2.964    0.897
10    30    0.000    0.000    31.464    1.013
10    31    0.000    0.000    2.331    1.013
10    32    0.000    0.000    39.076    0.770
10    33    0.000    0.000    4.069    0.770
10    34    0.000    0.000    29.687    0.993
10    35    0.000    0.000    2.731    0.993
10    36    0.000    0.000    39.737    0.790
10    37    0.000    0.000    3.946    0.790
10    38    0.000    0.000    30.920    0.995
10    39    0.000    0.000    2.398    0.995
10    40    0.000    0.000    30.630    1.099
10    41    0.000    0.000    3.127    1.099
10    42    0.000    0.000    30.495    0.982
10    43    0.000    0.000    3.415    0.982
10    44    0.000    0.000    54.133    0.570
10    45    0.000    0.000    3.306    0.570
10    46    0.000    0.000    31.290    0.982
10    47    0.000    0.000    3.486    0.982
10    48    0.000    0.000    25.741    1.194
10    49    0.000    0.000    2.703    1.194
10    50    0.000    0.000    36.427    0.858
10    51    0.000    0.000    2.419    0.858
10    52    0.000    0.000    41.582    0.713
10    53    0.000    0.000    4.359    0.713
10    54    0.000    0.000    27.644    1.206
10    55    0.000    0.000    2.367    1.206
10    56    0.000    0.000    36.770    0.919
10    57    0.000    0.000    3.168    0.919
10    58    0.000    0.000    31.096    1.012
10    59    0.000    0.000    3.235    1.012
11    4    0.000    0.000    26.124    1.166
11    5    0.000    0.000    3.239    1.166
11    6    0.000    0.000    28.237    0.916
11    7    0.000    0.000    3.091    0.916
11    8    0.000    0.000    20.652    1.090
11    9    0.000    0.000    2.379    1.090
11    10    0.000    0.000    25.233    1.196
11    11    0.000    0.000    2.595    1.196
11    12    0.000    0.000    20.687    0.833
11    13    0.000    0.000    1.796    0.833
11    14    0.000    0.000    26.051    0.882
11    15    0.000    0.000    3.341    0.882
11    16    0.000    0.000    21.621    1.100
11    17    0.000    0.000    2.364    1.100
11    18    0.000    0.000    25.261    0.882
11    19    0.000    0.000    2.622    0.882
11    20    0.000    0.000    23.508    1.063
11    21    0.000    0.000    2.399    1.063
11    22    0.000    0.000    29.775    1.217
11    23    0.000    0.000    3.398    1.217
11    24    0.000    0.000    20.970    0.990
11    25    0.000    0.000    2.103    0.990
11    26    0.000    0.000    26.963    1.126
11    27    0.000    0.000    3.406    1.126
11    28    0.000    0.000    22.327    1.083
11    29    0.000    0.000    2.360    1.083
11    30    0.000    0.000    28.623    1.188
11    31    0.000    0.000    2.667    1.188
11    32    0.000    0.000    16.290    1.061
11    33    0.000    0.000    2.080    1.061
11    34    0.000    0.000    28.298    0.824
11    35    0.000    0.000    2.914    0.824
11    36    0.000    0.000    28.111    1.217
11    37    0.000    0.000    2.184    1.217
11    38    0.000    0.000    21.075    1.151
11    39    0.000    0.000    1.954    1.151
11    40    0.000    0.000    24.546    0.856
11    41    0.000    0.000    2.373    0.856
11    42    0.000    0.000    24.765    1.042
11    43    0.000    0.000    2.701    1.042
11    44    0.000    0.000    22.923    0.983
11    45    0.000    0.000    2.381    0.983
11    46    0.000    0.000    33.206    0.925
11    47    0.000    0.000    4.021    0.925
11    48    0.000    0.000    28.098    0.955
11    49    0.000    0.000    2.688    0.955
11    50    0.000    0.000    22.709    1.095
11    51    0.000    0.000    2.063    1.095
11    52    0.000    0.000    32.031    0.961
11    53    0.000    0.000    3.189    0.961
11    54    0.000    0.000    22.438    1.221
11    55    0.000    0.000    2.194    1.221
11    56    0.000    0.000    27.018    1.152
11    57    0.000    0.000    2.673    1.152
11    58    0.000    0.000    31.687    0.718
11    59    0.000    0.000    3.323    0.718
12    4    0.000    0.000    52.934    0.508
12    5    0.000    0.000    6.144    0.508
12    6    0.000    0.000    29.911    1.084
12    7    0.000    0.000    3.120    1.084
12    8    0.000    0.000    28.256    1.015
12    9    0.000    0.000    3.588    1.015
12    10    0.000    0.000    27.169    1.003
12    11    0.000    0.000    2.630    1.003
12    12    0.000    0.000    36.897    0.768
12    13    0.000    0.000    3.291    0.768
12    14    0.000    0.000    27.662    0.997
12    15    0.000    0.000    3.611    0.997
12    16    0.000    0.000    31.336    0.932
12    17    0.000    0.000    3.604    0.932
12    18    0.000    0.000    29.243    0.979
12    19    0.000    0.000    2.666    0.979
12    20    0.000    0.000    29.971    0.887
12    21    0.000    0.000    3.412    0.887
12    22    0.000    0.000    25.445    1.056
12    23    0.000    0.000    2.904    1.056
12    24    0.000    0.000    28.459    1.039
12    25    0.000    0.000    3.856    1.039
12    26    0.000    0.000    29.464    0.940
12    27    0.000    0.000    3.230    0.940
12    28    0.000    0.000    28.709    0.994
12    29    0.000    0.000    3.256    0.994
12    30    0.000    0.000    24.220    1.175
12    31    0.000    0.000    2.275    1.175
12    32    0.000    0.000    38.973    0.731
12    33    0.000    0.000    3.550    0.731
12    34    0.000    0.000    33.201    0.883
12    35    0.000    0.000    2.983    0.883
12    36    0.000    0.000    26.433    1.195
12    37    0.000    0.000    2.439    1.195
12    38    0.000    0.000    31.774    0.856
12    39    0.000    0.000    3.096    0.856
12    40    0.000    0.000    30.569    0.918
12    41    0.000    0.000    2.240    0.918
12    42    0.000    0.000    30.453    0.953
12    43    0.000    0.000    3.114    0.953
12    44    0.000    0.000    26.655    1.162
12    45    0.000    0.000    2.527    1.162
12    46    0.000    0.000    28.215    1.057
12    47    0.000    0.000    3.578    1.057
12    48    0.000    0.000    27.584    1.089
12    49    0.000    0.000    2.270    1.089
12    50    0.000    0.000    35.379    0.855
12    51    0.000    0.000    4.106    0.855
12    52    0.000    0.000    39.041    0.754
12    53    0.000    0.000    3.010    0.754
12    54    0.000    0.000    27.767    1.017
12    55    0.000    0.000    2.216    1.017
12    56    0.000    0.000    28.526    1.022
12    57    0.000    0.000    2.818    1.022
12    58    0.000    0.000    30.256    0.913
12    59    0.000    0.000    3.169    0.913
13    4    0.000    0.000    27.221    0.875
13    5    0.000    0.000    2.354    0.875
13    6    0.000    0.000    27.618    0.954
13    7    0.000    0.000    3.099    0.954
13    8    0.000    0.000    30.454    0.830
13    9    0.000    0.000    3.376    0.830
13    10    0.000    0.000    25.677    1.040
13    11    0.000    0.000    3.064    1.040
13    12    0.000    0.000    23.713    1.124
13    13    0.000    0.000    3.327    1.124
13    14    0.000    0.000    46.588    0.524
13    15    0.000    0.000    5.362    0.524
13    16    0.000    0.000    24.974    1.105
13    17    0.000    0.000    1.976    1.105
13    18    0.000    0.000    34.785    0.744
13    19    0.000    0.000    4.976    0.744
13    20    0.000    0.000    30.577    0.829
13    21    0.000    0.000    4.433    0.829
13    22    0.000    0.000    26.340    0.972
13    23    0.000    0.000    3.915    0.972
13    24    0.000    0.000    28.237    0.893
13    25    0.000    0.000    3.274    0.893
13    26    0.000    0.000    23.046    1.081
13    27    0.000    0.000    3.063    1.081
